dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.604777,13.232388,11.583323,5.514781,-6.491281,0.651814,0.049386
0.020000,15.712357,13.237559,11.691027,5.385210,-6.478537,0.637217,0.046661
0.020000,15.817367,13.242320,11.796145,5.255889,-6.466085,0.622616,0.043942
0.020000,15.919810,13.246685,11.898681,5.126808,-6.454016,0.603421,0.041233
0.020000,16.019690,13.250672,11.998640,4.997967,-6.442052,0.598197,0.038537
0.020000,16.117010,13.254294,12.096027,4.869354,-6.430652,0.569992,0.035859
0.020000,16.211773,13.257568,12.190847,4.740968,-6.419320,0.566641,0.033203
0.020000,16.303982,13.260510,12.283103,4.612800,-6.408385,0.546713,0.030572
0.020000,16.393640,13.263135,12.372799,4.484843,-6.397866,0.525975,0.027970
0.020000,16.480751,13.265460,12.459941,4.357094,-6.387422,0.522219,0.025402
0.020000,16.565317,13.267502,12.544532,4.229544,-6.377537,0.494226,0.022869
0.020000,16.647342,13.269276,12.626576,4.102189,-6.367758,0.488969,0.020376
0.020000,16.726828,13.270799,12.706076,3.975020,-6.358403,0.467718,0.017926
0.020000,16.803778,13.272086,12.783037,3.848035,-6.349289,0.455691,0.015523
0.020000,16.878194,13.273154,12.857462,3.721221,-6.340682,0.430379,0.013168
0.020000,16.950081,13.274018,12.929353,3.594581,-6.331999,0.434157,0.010866
0.020000,17.019440,13.274694,12.998715,3.468099,-6.324120,0.393919,0.008618
0.020000,17.086273,13.275197,13.065551,3.341776,-6.316121,0.399953,0.006429
0.020000,17.150584,13.275542,13.129863,3.215603,-6.308679,0.372139,0.004299
0.020000,17.212375,13.275744,13.191654,3.089573,-6.301498,0.359041,0.002233
0.020000,17.271649,13.275817,13.250928,2.963685,-6.294399,0.354957,0.000231
0.020000,17.328408,13.275775,13.307686,2.837925,-6.287985,0.320662,6.281483
0.020000,17.382653,13.275633,13.361932,2.712292,-6.281665,0.316019,6.279619
0.020000,17.434388,13.275402,13.413668,2.586780,-6.275571,0.304678,6.277827
0.020000,17.483615,13.275096,13.462895,2.461378,-6.270099,0.273610,6.276108
0.020000,17.530335,13.274727,13.509617,2.336092,-6.264323,0.288831,6.274466
0.020000,17.574551,13.274307,13.553835,2.210900,-6.259579,0.237173,6.272900
0.020000,17.616265,13.273847,13.595551,2.085810,-6.254505,0.253700,6.271415
0.020000,17.655478,13.273357,13.634768,1.960809,-6.250041,0.223192,6.270009
0.020000,17.692193,13.272849,13.671485,1.835895,-6.245730,0.215556,6.268687
0.020000,17.726410,13.272332,13.705707,1.711055,-6.241962,0.188410,6.267447
0.020000,17.758131,13.271814,13.737432,1.586296,-6.237999,0.198143,6.266293
0.020000,17.787359,13.271305,13.766664,1.461597,-6.234933,0.153296,6.265225
0.020000,17.814094,13.270812,13.793404,1.336966,-6.231528,0.170276,6.264244
0.020000,17.838337,13.270342,13.817652,1.212393,-6.228661,0.143312,6.263351
0.020000,17.860090,13.269901,13.839409,1.087865,-6.226419,0.112099,6.262547
